2019-09-27 12:03:48.345 | SUCCESS  | __main__:main:85 - RESP: success
2019-09-27 12:03:49.148 | INFO     | __main__:main:172 - Stock market cap percent
class StockMarketCapPercent { Sort=259, Code=2323, Name=中環, Percent=0.0427% }
class StockMarketCapPercent { Sort=60, Code=2324, Name=仁寶, Percent=0.2488% }
class StockMarketCapPercent { Sort=54, Code=2327, Name=國巨, Percent=0.3049% }
class StockMarketCapPercent { Sort=274, Code=2328, Name=廣宇, Percent=0.0390% }
class StockMarketCapPercent { Sort=323, Code=2329, Name=華泰, Percent=0.0322% }
class StockMarketCapPercent { Sort=1, Code=2330, Name=台積電, Percent=21.1215% }
class StockMarketCapPercent { Sort=428, Code=2331, Name=精英, Percent=0.0218% }
class StockMarketCapPercent { Sort=383, Code=2332, Name=友訊, Percent=0.0259% }
class StockMarketCapPercent { Sort=89, Code=2337, Name=旺宏, Percent=0.1594% }
class StockMarketCapPercent { Sort=404, Code=2338, Name=光罩, Percent=0.0235% }
class StockMarketCapPercent { Sort=322, Code=2340, Name=光磊, Percent=0.0324% }
class StockMarketCapPercent { Sort=628, Code=2342, Name=茂矽, Percent=0.0100% }
class StockMarketCapPercent { Sort=70, Code=2344, Name=華邦電, Percent=0.2134% }
class StockMarketCapPercent { Sort=55, Code=2345, Name=智邦, Percent=0.2903% }
class StockMarketCapPercent { Sort=76, Code=2347, Name=聯強, Percent=0.1941% }
class StockMarketCapPercent { Sort=575, Code=2348, Name=海悅, Percent=0.0123% }
class StockMarketCapPercent { Sort=305, Code=2349, Name=錸德, Percent=0.0345% }
class StockMarketCapPercent { Sort=297, Code=2351, Name=順德, Percent=0.0353% }
class StockMarketCapPercent { Sort=105, Code=2352, Name=佳世達, Percent=0.1240% }
class StockMarketCapPercent { Sort=87, Code=2353, Name=宏碁, Percent=0.1663% }
class StockMarketCapPercent { Sort=56, Code=2354, Name=鴻準, Percent=0.2820% }
class StockMarketCapPercent { Sort=270, Code=2355, Name=敬鵬, Percent=0.0399% }
class StockMarketCapPercent { Sort=63, Code=2356, Name=英業達, Percent=0.2426% }
